,ID1_G,ID2_G,ID_T_G,ID_R_G,RESULT_G,DATE_G,rank_2,points_2
0,17613,18854,8887,4,7-6(8) 3-6 10-7,2012-01-31,,
1,25192,25191,8888,4,6-3 6-2,2012-01-31,,
2,918,10828,8957,4,6-1 6-2,2012-01-31,271.0,175.0
3,3316,2379,8957,4,6-4 7-6(5),2012-01-31,141.0,381.0
4,7869,6277,8957,4,6-4 6-4,2012-01-31,152.0,352.0
5,2107,7136,8957,4,7-5 5-7 6-3,2012-01-31,317.0,140.0
6,678,72,8887,4,6-1 6-4,2012-01-31,51.0,899.0
7,563,13796,8887,4,6-4 6-4,2012-01-31,72.0,688.0
8,745,775,8888,4,7-6(3) 6-1,2012-01-31,198.0,243.0
9,75,1266,8888,4,6-4 7-6(4),2012-01-31,67.0,710.0
10,749,7826,8888,4,6-2 6-1,2012-01-31,148.0,362.0
11,638,13651,8888,4,6-3 6-1,2012-01-31,354.0,118.0
12,6002,5058,8957,4,6-4 6-2,2012-01-31,185.0,263.0
13,9839,4454,8957,4,7-6(6) 6-2,2012-01-31,340.0,125.0
14,920,11923,8957,4,6-3 6-4,2012-01-31,181.0,269.0
15,1823,4078,8957,4,6-3 6-1,2012-01-31,140.0,383.0
16,578,6691,8887,4,6-3 6-2,2012-01-31,66.0,724.0
17,453,7806,8887,4,6-3 7-5,2012-01-31,101.0,563.0
18,520,760,8888,4,6-1 6-3,2012-01-31,56.0,815.0
19,5554,25199,8888,4,6-3 6-4,2012-01-31,,
20,468,516,8887,4,6-4 7-6(7),2012-01-31,80.0,657.0
21,25197,15916,8888,4,7-6(2) 6-4,2012-01-31,,
22,655,6642,8888,4,7-6(2) 6-3,2012-01-31,111.0,527.0
23,3685,2123,8889,4,6-3 5-7 6-1,2012-01-31,106.0,544.0
24,935,838,8889,4,7-5 6-0,2012-01-31,104.0,547.0
25,9839,22906,8882,2,4-6 6-1 6-3,2012-01-01,,
26,1162,12896,8882,2,6-7(12) 6-3 6-4,2012-01-01,,
27,11517,578,8882,4,6-4 6-4,2012-01-01,,
28,3996,3694,8882,2,6-3 6-3,2012-01-01,,
29,7461,13398,8882,2,6-2 6-3,2012-01-01,,
30,8313,16994,8882,2,6-2 6-2,2012-01-01,,
