,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
6,7,Lleyton Hewitt,1981-02-24 00:00:00,AUS,626.0,-3.0,45.0,120.0,5.0,0.0,1.0,10.0,3.0,0.0,0.0,20717156.0,,263.0,0.0,270.0,0.0,0.0,
9,10,Juan Carlos Ferrero,1980-02-12 00:00:00,ESP,,,,,,,,,,,,,,,,,,,
11,12,Arnaud Clement,1977-12-17 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
15,16,Mark Philippoussis,1976-11-07 00:00:00,AUS,,,,,,,,,,,,6987402.0,,,,,,,
17,18,Dominik Hrbaty,1978-01-04 00:00:00,SVK,,,,,,,,,,,,,,,,,,,
18,19,Roger Federer,1981-08-08 00:00:00,SUI,7.0,0.0,3730.0,3650.0,7.0,1310.0,5.0,1700.0,2.0,0.0,0.0,97303556.0,2130.0,,,,1040.0,3.0,
21,22,Tommy Haas,1978-04-03 00:00:00,GER,,,,28.0,5.0,0.0,0.0,65.0,4.0,0.0,0.0,13313605.0,,,,,0.0,1.0,
46,47,Rainer Schuettler,1976-04-25 00:00:00,GER,,,,,,,,,,,,,,,,,,,
51,52,Andreas Vinciguerra,1981-02-19 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
67,68,Nicolas Massu,1979-10-10 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
70,71,Ivan Ljubicic,1979-03-19 00:00:00,CRO,,,,,,,,,,,,,,,,,,,
71,72,Olivier Rochus,1981-01-18 00:00:00,BEL,,,,,,,,,,,,,,,,,,,
74,75,Mikhail Youzhny,1982-06-25 00:00:00,RUS,51.0,0.0,875.0,241.0,10.0,80.0,9.0,10.0,3.0,80.0,2.0,12807012.0,775.0,,,,64.0,5.0,
77,78,Xavier Malisse,1980-07-19 00:00:00,BEL,,,,,,,,,,,,5694825.0,,,,,,,
78,79,Hyung-Taik Lee,1976-01-03 00:00:00,KOR,,,,,,,,,,,,2355686.0,,,,,,,
83,84,Tommy Robredo,1982-05-01 00:00:00,ESP,457.0,-160.0,85.0,435.0,9.0,510.0,8.0,55.0,2.0,0.0,0.0,12787213.0,,579.0,2.0,90.0,45.0,1.0,
88,89,Andy Roddick,1982-08-30 00:00:00,USA,,,,,,,,,,,,20640030.0,,,,,,,
90,91,Antony Dupuis,1973-02-24 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
93,94,Andrei Stoliarov,1977-01-09 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
132,133,Jan Kroslak,1974-10-17 00:00:00,SVK,,,,,,,,,,,,,,,,,,,
191,192,Patrick Baur,1965-05-03 00:00:00,GER,,,,,,,,,,,,709282.0,,,,,,,
192,193,Joaquin Munoz-Hernandez,1975-01-04 00:00:00,ESP,,,,,,,,,,,,139658.0,,691.0,4.0,66.0,,,
251,254,Francisco Cabello,1972-12-06 00:00:00,ARG,,,,,,,,,,,,178075.0,,,,,,,
