ID1_G,ID2_G,ID_T_G,ID_R_G,RESULT_G,DATE_G
17613,18854,8887,4,7-6(8) 3-6 10-7,2012-01-31 00:00:00
25192,25191,8888,4,6-3 6-2,2012-01-31 00:00:00
918,10828,8957,4,6-1 6-2,2012-01-31 00:00:00
3316,2379,8957,4,6-4 7-6(5),2012-01-31 00:00:00
7869,6277,8957,4,6-4 6-4,2012-01-31 00:00:00
2107,7136,8957,4,7-5 5-7 6-3,2012-01-31 00:00:00
678,72,8887,4,6-1 6-4,2012-01-31 00:00:00
563,13796,8887,4,6-4 6-4,2012-01-31 00:00:00
745,775,8888,4,7-6(3) 6-1,2012-01-31 00:00:00
75,1266,8888,4,6-4 7-6(4),2012-01-31 00:00:00
749,7826,8888,4,6-2 6-1,2012-01-31 00:00:00
638,13651,8888,4,6-3 6-1,2012-01-31 00:00:00
6002,5058,8957,4,6-4 6-2,2012-01-31 00:00:00
9839,4454,8957,4,7-6(6) 6-2,2012-01-31 00:00:00
920,11923,8957,4,6-3 6-4,2012-01-31 00:00:00
1823,4078,8957,4,6-3 6-1,2012-01-31 00:00:00
578,6691,8887,4,6-3 6-2,2012-01-31 00:00:00
453,7806,8887,4,6-3 7-5,2012-01-31 00:00:00
520,760,8888,4,6-1 6-3,2012-01-31 00:00:00
5554,25199,8888,4,6-3 6-4,2012-01-31 00:00:00
468,516,8887,4,6-4 7-6(7),2012-01-31 00:00:00
25197,15916,8888,4,7-6(2) 6-4,2012-01-31 00:00:00
655,6642,8888,4,7-6(2) 6-3,2012-01-31 00:00:00
3685,2123,8889,4,6-3 5-7 6-1,2012-01-31 00:00:00
935,838,8889,4,7-5 6-0,2012-01-31 00:00:00
9839,22906,8882,2,4-6 6-1 6-3,2012-01-01 00:00:00
1162,12896,8882,2,6-7(12) 6-3 6-4,2012-01-01 00:00:00
11517,578,8882,4,6-4 6-4,2012-01-01 00:00:00
3996,3694,8882,2,6-3 6-3,2012-01-01 00:00:00
7461,13398,8882,2,6-2 6-3,2012-01-01 00:00:00
8313,16994,8882,2,6-2 6-2,2012-01-01 00:00:00
25086,25087,8882,4,6-2 6-2,2012-01-01 00:00:00
7393,11923,8881,2,6-4 6-1,2012-01-01 00:00:00
779,6980,8881,2,6-3 6-4,2012-01-01 00:00:00
